SHIRK | 4th guess | SUCCESS
MINCE | 4th guess | SUCCESS
FAIRY | 4th guess | SUCCESS
PLACE | 5th guess | SUCCESS
ENNUI | 5th guess | SUCCESS
TENET | 4th guess | SUCCESS
ANNEX | 6th guess | SUCCESS
GLAZE | 4th guess | SUCCESS
SMOCK | 4th guess | SUCCESS
SENSE | 6th guess | FAIL
SWORE | 4th guess | SUCCESS
DENIM | 4th guess | SUCCESS
SEIZE | 4th guess | SUCCESS
ELECT | 4th guess | SUCCESS
WHISK | 6th guess | SUCCESS
SMELL | 5th guess | SUCCESS
REACT | 5th guess | SUCCESS
GOING | 4th guess | SUCCESS
VIRUS | 4th guess | SUCCESS
TRYST | 4th guess | SUCCESS
SOWER | 6th guess | FAIL
CHILI | 5th guess | SUCCESS
GROUP | 4th guess | SUCCESS
BAWDY | 4th guess | SUCCESS
PUPIL | 4th guess | SUCCESS
ONION | 5th guess | INIT
STINT | 5th guess | SUCCESS
POPPY | 6th guess | FAIL
INPUT | 5th guess | SUCCESS
SWELL | 5th guess | SUCCESS
ALTAR | 5th guess | SUCCESS
STUNT | 5th guess | SUCCESS
EPOCH | 5th guess | SUCCESS
AWARE | 6th guess | SUCCESS
SHALL | 4th guess | SUCCESS
DROWN | 4th guess | SUCCESS
TROLL | 4th guess | SUCCESS
VIDEO | 4th guess | SUCCESS
FLYER | 4th guess | SUCCESS
CLASS | 5th guess | SUCCESS
ICING | 5th guess | SUCCESS
CLUED | 4th guess | SUCCESS
ANGEL | 5th guess | SUCCESS
SHADY | 6th guess | FAIL
ANODE | 4th guess | SUCCESS
ALOFT | 5th guess | SUCCESS
DECRY | 6th guess | SUCCESS
SPIEL | 5th guess | SUCCESS
ECLAT | 6th guess | FAIL
INLET | 4th guess | SUCCESS
QUACK | 6th guess | SUCCESS
CHARD | 4th guess | SUCCESS
YUMMY | 6th guess | FAIL
DARED | 6th guess | FAIL
SMITE | 6th guess | SUCCESS
TULIP | 4th guess | SUCCESS
SCALD | 4th guess | SUCCESS
STOKE | 5th guess | SUCCESS
SCALY | 4th guess | SUCCESS
UNTIL | 4th guess | SUCCESS
SWELL | 5th guess | SUCCESS
GAYLY | 5th guess | SUCCESS
GAPER | 6th guess | FAIL
ALONG | 4th guess | SUCCESS
